customer_id,email,phone,segment
cust-001,customer001@example.com,+1-202-555-0147,standard
cust-002,customer002@example.com,,trial
cust-003,customer003@example.com,,enterprise
cust-004,customer004@example.com,,standard
cust-005,customer005@example.com,,trial
cust-006,customer006@example.com,,enterprise
cust-007,customer007@example.com,,standard
cust-008,customer008@example.com,,trial
cust-009,customer009@example.com,,enterprise
cust-010,customer010@example.com,,standard
cust-011,customer011@example.com,,trial
cust-012,customer012@example.com,,enterprise
cust-013,customer013@example.com,,standard
cust-014,customer014@example.com,,trial
cust-015,customer015@example.com,,enterprise
cust-016,customer016@example.com,,standard
cust-017,customer017@example.com,,trial
cust-018,customer018@example.com,,enterprise
cust-019,customer019@example.com,,standard
cust-020,customer020@example.com,,trial
cust-021,customer021@example.com,,enterprise
cust-022,customer022@example.com,,standard
cust-023,customer023@example.com,,trial
cust-024,customer024@example.com,,enterprise
cust-025,customer025@example.com,,standard
cust-026,customer026@example.com,,trial
cust-027,customer027@example.com,,enterprise
cust-028,customer028@example.com,,standard
cust-029,customer029@example.com,,trial
cust-030,customer030@example.com,,enterprise
cust-031,customer031@example.com,,standard
cust-032,customer032@example.com,,trial
cust-033,customer033@example.com,,enterprise
cust-034,customer034@example.com,,standard
cust-035,customer035@example.com,,trial
cust-036,customer036@example.com,,enterprise
cust-037,customer037@example.com,,standard
cust-038,customer038@example.com,,trial
cust-039,customer039@example.com,,enterprise
cust-040,customer040@example.com,,standard
cust-041,customer041@example.com,,trial
cust-042,customer042@example.com,,enterprise
cust-043,customer043@example.com,,standard
cust-044,customer044@example.com,,trial
cust-045,customer045@example.com,,enterprise
cust-046,customer046@example.com,,standard
cust-047,customer047@example.com,,trial
cust-048,customer048@example.com,,enterprise
cust-049,customer049@example.com,,standard
cust-050,customer050@example.com,,trial
cust-051,customer051@example.com,,enterprise
cust-052,customer052@example.com,,standard
cust-053,customer053@example.com,,trial
cust-054,customer054@example.com,,enterprise
cust-055,customer055@example.com,,standard
cust-056,customer056@example.com,,trial
cust-057,customer057@example.com,,enterprise
cust-058,customer058@example.com,,standard
cust-059,customer059@example.com,,trial
cust-060,customer060@example.com,,enterprise
cust-061,customer061@example.com,,standard
cust-062,customer062@example.com,,trial
cust-063,customer063@example.com,,enterprise
cust-064,customer064@example.com,,standard
cust-065,customer065@example.com,,trial
cust-066,customer066@example.com,,enterprise
cust-067,customer067@example.com,,standard
cust-068,customer068@example.com,,trial
cust-069,customer069@example.com,,enterprise
cust-070,customer070@example.com,,standard
cust-071,customer071@example.com,,trial
cust-072,customer072@example.com,,enterprise
cust-073,customer073@example.com,,standard
cust-074,customer074@example.com,,trial
cust-075,customer075@example.com,,enterprise
cust-076,customer076@example.com,,standard
cust-077,customer077@example.com,,trial
cust-078,customer078@example.com,,enterprise
cust-079,customer079@example.com,,standard
cust-080,customer080@example.com,,trial
cust-081,customer081@example.com,,enterprise
cust-082,customer082@example.com,,standard
cust-083,customer083@example.com,,trial
cust-084,customer084@example.com,,enterprise
cust-085,customer085@example.com,,standard
